id,filename,participant_id,room_id,device_placement_id,session_id,polar_position_id,distance,polar_angle,utterance_id,dov_angle,mic_channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
0,recording0_0_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,0,0,0.008129904880504265,0.00019101061766414572,0.023494815803096838,-8.157069588174679e-07,0.014333391526784959,-1.9296401032601042e-14,8.163097074310832e-10,-1.0347624428604046e-05,0.03850676668028504,0.054890417,0.81308717,7.1461296,373646.53125,0.0048923395,161.9229736328125,4.499934746671644,0.0010910557934679327,0.002774912050951539,0.01096990460876239,0.01374481665971393,0.011935190998741482,27.558523585675307,64.0,-64.0,0.0,-40.833333333333336,5.079467644907197e-07,1.3184719464092514e-06,5.0509192745706194e-06,6.369391220979871e-06,5.518770506961527e-06,3.588349425218139e-05,8.333333333333333e-05,-8.333333333333333e-05,0.0,-5.3168402777777775e-05
1,recording0_45_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,45,0,0.0038664317873928237,7.869654384501551e-05,0.020353790826368474,-5.589724999196202e-07,0.009715939087719725,-1.3111651156555062e-14,5.572925573953999e-10,-7.099180436806019e-06,0.026393014079022913,0.025116649,0.8312513,4.1414533,205014.34375,0.0030299472,92.77438354492188,7.8383229904864455,0.0011616799203005243,0.002744027621374481,0.0101198204964793,0.012863848117853781,0.011173051850130762,28.85837063237555,72.0,-69.0,3.0,-41.833333333333336,5.051508880148647e-07,1.2677052434142713e-06,4.675891762814453e-06,5.943597006228724e-06,5.179915893346443e-06,3.757600342757233e-05,9.375e-05,-8.984375e-05,3.90625e-06,-5.4470486111111114e-05
2,recording0_90_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,90,0,0.006712555201537281,1.0837252220719145e-05,0.001614474949604473,-7.271781583170955e-07,0.01217054137269741,-1.8373901570213644e-14,7.877252856879769e-10,-1.0055955951107516e-05,0.0361905138359114,0.5400593,0.7477068,6.045583,267578.5,0.0019758656,72.53367614746094,6.317599512406378,0.00044310067412944295,0.0013101323564404174,0.00652275011114254,0.007832882467582958,0.006957473219541907,28.981315820139475,84.0,-77.0,7.0,-41.5,2.0023315822384705e-07,5.780508111121073e-07,3.0563846758313646e-06,3.634435486943472e-06,3.231573336937727e-06,3.773608830747328e-05,0.000109375,-0.00010026041666666667,9.114583333333334e-06,-5.403645833333334e-05
3,recording0_135_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,135,0,0.021657080667922653,8.718794999301899e-06,0.000402584038587238,-1.2572456650105612e-06,0.020890340886128747,-3.34168666987373e-14,1.4289086169187551e-09,-1.8133199469774395e-05,0.06421695300121627,0.27784863,0.8576287,19.954367,1078027.125,0.0029319935,117.99508666992188,4.375100112130638,0.00036879052885452893,0.0011060899066312243,0.004361540804154572,0.005467630710785796,0.004849297980904647,27.746871695542346,74.0,-80.0,-6.0,-42.666666666666664,1.824725973999106e-07,5.488574023251067e-07,2.02442784888756e-06,2.5732852512126666e-06,2.275299788182944e-06,3.612873918690409e-05,9.635416666666668e-05,-0.00010416666666666667,-7.8125e-06,-5.5555555555555565e-05
4,recording0_180_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,180,0,0.020035717638197618,5.922544573456107e-05,0.0029559932318894916,-1.2249793004166845e-06,0.020621575041409126,-3.163961371839662e-14,1.350092227576654e-09,-1.7135163167428876e-05,0.06137310435969929,0.115560785,0.7586287,22.579279,1311395.5,0.0035463406,147.2198486328125,4.896696603563125,0.0008045231913667619,0.002324319889054705,0.0036287886696256804,0.005953108558680385,0.00491908478851133,44.12734098291242,140.0,-111.0,29.0,-41.666666666666664,3.7591338203585265e-07,1.1041676108832377e-06,1.6887804695126798e-06,2.7929480803959175e-06,2.2986899720861184e-06,5.7457475238167215e-05,0.00018229166666666665,-0.00014453125,3.776041666666667e-05,-5.425347222222222e-05
5,recording0_225_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,225,0,0.021603841064372204,1.3285068305565372e-05,0.0006149401056034583,-1.2605049282287022e-06,0.020969338756408513,-3.327089194310289e-14,1.423028372539249e-09,-1.807148754402569e-05,0.06414140376182398,0.53537774,0.840532,19.629436,1062223.25,0.0029595378,127.94807434082031,5.839226187688955,0.0006453600790181003,0.0017317609543061347,0.004745638163789626,0.006477399118095761,0.005808463040347013,37.686204372422544,126.0,-91.0,35.0,-37.5,2.895257425411611e-07,7.970412789757627e-07,2.223218667429312e-06,3.0202599464050747e-06,2.71262928265908e-06,4.907057860992518e-05,0.0001640625,-0.00011848958333333333,4.557291666666667e-05,-4.8828124999999996e-05
6,recording0_270_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,270,0,0.006146510899136702,2.8200526597546054e-05,0.0045880544361365915,-6.885744672590007e-07,0.01164109252259611,-1.7081878550827353e-14,7.306201891869309e-10,-9.319919182980676e-06,0.03380753077791737,0.3610306,0.75786626,6.386195,349791.21875,0.0021723285,86.30126953125,5.7899997394725204,0.0008244559152942383,0.0021455867297032315,0.006569340804884862,0.008714927534588093,0.007853951763901619,26.694256560791,64.0,-59.0,5.0,-36.5,3.9271590898569046e-07,1.0465140772127516e-06,3.05518374657395e-06,4.101697823786702e-06,3.6662094890748554e-06,3.475814656352994e-05,8.333333333333333e-05,-7.682291666666666e-05,6.510416666666667e-06,-4.7526041666666664e-05
7,recording0_315_0.wav,s11,onshinlab,wall,trial1,A0,1,0,recording0,315,0,0.009058807071507404,0.00015513545585316978,0.0171253736423106,-8.696989933012158e-07,0.015096974289514885,-1.9923703596489437e-14,8.497978259175632e-10,-1.0879622226282946e-05,0.04072343973929429,0.1494442,0.8656364,8.19457,425462.53125,0.004425839,154.6592559814453,5.29343932830861,0.001413090814007448,0.0042847333791972975,0.010170735564627213,0.01445546894382451,0.0117753908330716,27.39018477889885,61.0,-62.0,-1.0,-40.666666666666664,6.152561554167443e-07,1.8486591953787687e-06,4.740055898244436e-06,6.588715093623205e-06,5.450581799528961e-06,3.566430309752454e-05,7.942708333333333e-05,-8.072916666666667e-05,-1.3020833333333333e-06,-5.2951388888888894e-05
8,recording0_0_0.wav,s11,onshinlab,wall,trial1,A1,1,45,recording0,0,0,0.009298367378221713,0.00011805367407904596,0.012696172271655651,-8.766656608867785e-07,0.015095912951462568,-2.058534747155412e-14,8.786535672452061e-10,-1.1234364994677272e-05,0.041634351958421245,0.052843496,0.8307882,9.496668,441305.90625,0.003846766,133.60598754882812,5.570355381031848,0.0006722713807299257,0.0017243109426606992,0.009970844181539432,0.011695155124200132,0.010904208345421171,39.14680347387539,124.0,-83.0,41.0,-28.166666666666668,3.040495030426914e-07,7.305428337009146e-07,4.658029831499768e-06,5.388572665200682e-06,5.061356246472294e-06,5.097240035660858e-05,0.00016145833333333333,-0.00010807291666666666,5.338541666666667e-05,-3.6675347222222224e-05
9,recording0_45_0.wav,s11,onshinlab,wall,trial1,A1,1,45,recording0,45,0,0.009006537288592008,0.00012621640186193564,0.014013865464345071,-8.652463454103703e-07,0.014958818822570026,-1.9444187665680102e-14,8.32123592453772e-10,-1.0701460558110053e-05,0.040235223409631586,-0.09055294,0.8360983,9.031286,382297.78125,0.003979543,139.72889709472656,5.711054864472888,0.000900936610357518,0.0024985659315130155,0.0098422544125452,0.012340820344058215,0.010950762509807725,38.57460304397182,123.0,-84.0,39.0,-29.0,4.1448093481163067e-07,1.141500916457056e-06,4.563691345515634e-06,5.70519226197269e-06,5.0770361887379345e-06,5.0227347713504974e-05,0.00016015625,-0.000109375,5.078125e-05,-3.776041666666667e-05
