id,filename,participant_id,date,status,agc_status,distance,angle,session_id,facing,facing2,mic_channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
16,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,90,trial4,0,0,0,0.0011888829602004000,5.7473967743796E-05,0.04834283076452550,-3.58402842001674E-07,0.006485800861408730,-6.61416525000196E-15,2.8285639074012E-10,-3.69946533734063E-06,0.015064656569571800,0.045411926,0.94281423,1.1160994,81287.016,0.0028558336,111.45709,4.759362952490150,0.00412566616734705,0.01022712132350500,0.03844082495891000,0.04866794628241500,0.04253674509843240,23.338094752285700,50.0,-50.0,0.0,-33.0,1.56259302058527E-06,3.88523758010144E-06,1.37529623823141E-05,1.76381999624155E-05,1.53281886381208E-05,3.03881442087054E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.296875E-05
17,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,90,trial5,0,0,0,0.001438218916426540,2.53035142620949E-05,0.01759364584423980,-3.83463394158259E-07,0.006738991254366210,-7.78011418792058E-15,3.34816007402131E-10,-4.36422735311611E-06,0.017031482685939000,0.08091575,0.8585989,1.6418984,123185.39,0.002287463,89.08766,5.078187895166390,0.004202423450893970,0.010707062289690900,0.03328211215836880,0.04398917444805970,0.037726774579352700,23.338094752285700,50.0,-50.0,0.0,-33.0,1.57947630616168E-06,4.03514359897984E-06,1.19302393132952E-05,1.5965382912275E-05,1.36258324043589E-05,3.03881442087054E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.296875E-05
18,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,90,trial6,0,0,0,0.0010044415740266500,1.97134748224458E-05,0.019626303144161600,-3.2315437842996E-07,0.005689115613908300,-6.37043440854588E-15,2.74706682176755E-10,-3.59609294675152E-06,0.014170084479038700,0.053340778,0.8758288,0.9319816,71869.24,0.0019206913,78.355774,4.208723610725540,0.0037387493647904400,0.009344268695929100,0.03413188933312920,0.04347615802905830,0.037771524520804100,23.338094752285700,50.0,-50.0,0.0,-33.0,1.41348916180273E-06,3.54438834415278E-06,1.22330879319254E-05,1.57774762760782E-05,1.36308079387107E-05,3.03881442087054E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.296875E-05
19,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,135,trial1,0,0,0,0.0005998415372988400,6.73060455423171E-07,0.0011220637677978200,-2.15531051023671E-07,0.003615378352811150,-5.62560326279599E-15,2.40224427775928E-10,-3.04862578411151E-06,0.010877865563311400,0.08908126,0.83343077,0.88810074,75364.695,0.00049988204,31.607788,3.275735744131870,0.001615169329301310,0.004212056250939490,0.015516497559816300,0.019728553810755800,0.017478232356942700,33.03743667753630,96.0,-95.0,1.0,-40.166666666666700,5.96023395898476E-07,1.55973850656214E-06,5.6419440713872E-06,7.20168257794934E-06,6.3809356812E-06,4.30174956738754E-05,0.000125,-0.00012369791666666700,1.30208333333333E-06,-5.23003472222222E-05
20,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,135,trial2,0,0,0,0.0010041025856071000,8.18980715517115E-08,8.15634505135692E-05,-2.91540808144608E-07,0.0048536046268961400,-7.22702190742876E-15,3.1131457653083E-10,-3.99658650681359E-06,0.014443273534707100,0.27139416,0.8724928,1.1286098,82801.3,0.000701186,39.221313,4.5710434227714400,0.0022590307974293700,0.005198442557179580,0.015418113976212700,0.020616556533392300,0.01743965474632070,32.8312182059833,95.0,-95.0,0.0,-40.333333333333300,8.25941565628599E-07,1.90173422626963E-06,5.67383012740099E-06,7.57556435367063E-06,6.411032627462E-06,4.27489820390408E-05,0.00012369791666666700,-0.00012369791666666700,0.0,-5.25173611111111E-05
21,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,135,trial3,0,0,0,0.001035304131631650,1.46536402913773E-06,0.0014153947466898500,-2.96738222264779E-07,0.005009269364662410,-7.03463903861652E-15,3.02691989901232E-10,-3.8950425602005E-06,0.014311464316654700,0.023425197,0.8662624,1.1175443,83370.36,0.0008330954,45.45729,3.927592111267940,0.0023193765989929300,0.006785623862897580,0.017344630738784300,0.024130254601681800,0.020746127745942500,33.03743667753630,96.0,-95.0,1.0,-40.166666666666700,8.58009784768255E-07,2.49850347756781E-06,6.32912377587509E-06,8.8276272534429E-06,7.59094498997581E-06,4.30174956738754E-05,0.000125,-0.00012369791666666700,1.30208333333333E-06,-5.23003472222222E-05
22,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,135,trial4,0,0,0,0.0009523941649417520,4.34695102587703E-07,0.000456423525667326,-2.80876788732871E-07,0.0047015650007247800,-6.95278953888502E-15,2.98920756495696E-10,-3.83128261270476E-06,0.013871590977752100,0.13517231,0.8790803,1.025764,81904.805,0.00069019006,40.75789,3.087408846762440,0.0025049063810248000,0.005831901699384930,0.015484308105156300,0.021316209804541200,0.01746158856900210,32.8312182059833,95.0,-95.0,0.0,-40.333333333333300,9.16521465890101E-07,2.13163781271494E-06,5.6956868172027E-06,7.82732462991764E-06,6.41286445992705E-06,4.27489820390408E-05,0.00012369791666666700,-0.00012369791666666700,0.0,-5.25173611111111E-05
23,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,135,trial5,0,0,0,0.0009308964014353730,1.39178095119535E-07,0.000149509757374647,-2.86366468170218E-07,0.004779875619790830,-6.89423975237966E-15,2.97667899766531E-10,-3.8374579600249E-06,0.013994052329952600,0.101956524,0.92310053,0.9830457,76607.61,0.0007280362,42.391235,2.7312132716128700,0.0019049818827479600,0.00489691770224146,0.015917261933125400,0.020814179635366900,0.018097038743511200,32.8312182059833,95.0,-95.0,0.0,-40.333333333333300,7.08605122698097E-07,1.82048922893372E-06,5.83166740759013E-06,7.65215663652385E-06,6.64582769103497E-06,4.27489820390408E-05,0.00012369791666666700,-0.00012369791666666700,0.0,-5.25173611111111E-05
24,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,135,trial9,0,0,0,0.0012875145217190900,2.95763564662007E-07,0.00022971668254825000,-3.41800564988218E-07,0.005717884342965960,-8.03982862963322E-15,3.47728611810238E-10,-4.49743774598628E-06,0.01652058766641590,-0.011102115,0.8237867,1.1887808,78360.18,0.0009351703,48.899612,3.7987020401798500,0.0018026397941684300,0.004789466557954940,0.01662895173808110,0.02141841829603600,0.019054897619105900,33.03743667753630,96.0,-95.0,1.0,-40.166666666666700,6.64460891148731E-07,1.75890422054975E-06,6.09546174371822E-06,7.85436596426797E-06,6.99195415139259E-06,4.30174956738754E-05,0.000125,-0.00012369791666666700,1.30208333333333E-06,-5.23003472222222E-05
25,rec_0.wav,raspi-ubuntu-1,2022-01-10,standup,NoAGC,1,135,trial10,0,0,0,0.0012023882225906900,5.64693224967785E-07,0.000469643010766592,-3.23353549137328E-07,0.005419500588860240,-7.80259082760231E-15,3.36194462644751E-10,-4.32556381839697E-06,0.015781197382894000,-0.093788065,0.8677426,1.5046113,117423.875,0.00083882466,45.603638,3.8074006677154400,0.0019123253825021300,0.005815777210891530,0.017893219580488100,0.023708996791379600,0.020720375229094300,33.03743667753630,96.0,-95.0,1.0,-40.166666666666700,7.06686922141508E-07,2.14460313917328E-06,6.51046610316047E-06,8.65506924233375E-06,7.57398173704222E-06,4.30174956738754E-05,0.000125,-0.00012369791666666700,1.30208333333333E-06,-5.23003472222222E-05
