id,filename,participant_id,date,status,agc_status,distance,angle,facing,session_id,mic_channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
10,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,90,0,trial1,0,0.001201741,0.000212821,0.177094143,-3.77E-07,0.007205057,-5.58E-15,2.35E-10,-3.10E-06,0.014059133,0.3094148,0.80366725,1.0806075,78300.74,0.005119929,178.03334,5.406839035,0.005069768,0.01291596,0.041832878,0.054748838,0.047754544,23.45503973,50,-50,0,-33.16666667,1.94E-06,4.95E-06,1.49E-05,1.98E-05,1.72E-05,3.05E-05,6.51E-05,-6.51E-05,0,-4.32E-05
11,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,90,0,trial2,0,0.001513904,0.000174262,0.115107693,-4.34E-07,0.008099381,-6.27E-15,2.69E-10,-3.63E-06,0.016344802,0.26371336,0.74977255,1.3434787,101725.266,0.004777754,170.74043,6.089913719,0.005303112,0.014718406,0.038432901,0.053151307,0.046284515,23.69247419,51,-50,1,-33,2.02E-06,5.61E-06,1.36E-05,1.93E-05,1.66E-05,3.08E-05,6.64E-05,-6.51E-05,1.30E-06,-4.30E-05
12,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,90,0,trial3,0,0.001756032,0.000216891,0.123512252,-4.73E-07,0.008910916,-6.30E-15,2.71E-10,-3.70E-06,0.017242774,0.1975922,0.8548377,1.6284715,119120.79,0.005522558,208.43854,8.426746602,0.005266456,0.013722114,0.039885987,0.0536081,0.046259867,23.45503973,50,-50,0,-33.16666667,2.02E-06,5.27E-06,1.42E-05,1.94E-05,1.66E-05,3.05E-05,6.51E-05,-6.51E-05,0,-4.32E-05
13,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,90,0,trial4,0,0.00259183,0.000233027,0.089908425,-5.40E-07,0.01000246,-9.05E-15,3.85E-10,-5.06E-06,0.021534675,0.34710422,0.8834011,2.711437,253899.16,0.00570998,196.69376,5.724038722,0.004728867,0.01137176,0.04183518,0.05320694,0.046102116,23.57022604,50,-50,0,-33.33333333,1.81E-06,4.37E-06,1.49E-05,1.93E-05,1.66E-05,3.07E-05,6.51E-05,-6.51E-05,0,-4.34E-05
14,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,90,0,trial5,0,0.002562832,0.000468324,0.182736995,-5.74E-07,0.010972006,-7.64E-15,3.25E-10,-4.38E-06,0.020674938,0.30716014,0.8473721,2.006494,149349.06,0.008172568,239.22954,8.496620658,0.005542533,0.014090286,0.03998029,0.054070576,0.04643644,23.45503973,50,-50,0,-33.16666667,2.11E-06,5.40E-06,1.42E-05,1.96E-05,1.67E-05,3.05E-05,6.51E-05,-6.51E-05,0,-4.32E-05
15,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,135,0,trial1,0,0.002281446,7.41E-06,0.003246267,-4.43E-07,0.007497234,-1.02E-14,4.38E-10,-5.66E-06,0.021010335,0.16699818,0.93343264,2.1569023,160835.45,0.001325516,71.3811,2.507904367,0.002685989,0.008706252,0.020039056,0.028745309,0.02429566,32.5166624,95,-94,1,-40,9.99E-07,3.25E-06,7.23E-06,1.05E-05,8.87E-06,4.23E-05,0.000123698,-0.000122396,1.30E-06,-5.21E-05
16,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,135,0,trial2,0,0.002136034,9.99E-06,0.004675774,-4.20E-07,0.007127785,-9.83E-15,4.22E-10,-5.43E-06,0.020049183,-0.09281508,0.8166192,2.1776268,164072.53,0.001334221,68.677704,3.212418241,0.002699427,0.008992681,0.019625147,0.028617829,0.024934842,32.5166624,95,-94,1,-40,1.02E-06,3.38E-06,7.05E-06,1.04E-05,9.08E-06,4.23E-05,0.000123698,-0.000122396,1.30E-06,-5.21E-05
17,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,135,0,trial3,0,0.002015094,4.17E-06,0.002071477,-4.12E-07,0.006980398,-9.86E-15,4.23E-10,-5.44E-06,0.019935927,0.058603834,0.89402425,1.9994073,157464.17,0.001162749,68.173874,2.722531265,0.003157746,0.010100335,0.019258577,0.029358912,0.025666603,32.5166624,95,-94,1,-40,1.19E-06,3.78E-06,6.88E-06,1.07E-05,9.31E-06,4.23E-05,0.000123698,-0.000122396,1.30E-06,-5.21E-05
18,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,135,0,trial4,0,0.001995197,6.28E-06,0.003145509,-4.01E-07,0.006759777,-9.80E-15,4.20E-10,-5.38E-06,0.019582501,0.12477923,0.88405794,1.8800168,147932.3,0.001082244,65.04283,2.608061535,0.001518536,0.005220172,0.018873156,0.024093328,0.02162797,32.79439315,96,-95,1,-40.16666667,5.65E-07,1.94E-06,6.87E-06,8.81E-06,7.91E-06,4.27E-05,0.000125,-0.000123698,1.30E-06,-5.23E-05
19,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,135,0,trial5,0,0.00252167,1.85E-06,0.000735114,-4.46E-07,0.007449895,-1.16E-14,4.97E-10,-6.31E-06,0.022520744,0.19132334,0.94064856,2.390744,181870.69,0.00101072,63.554993,2.800856655,0.000917478,0.002518196,0.016454056,0.018972252,0.017735138,32.84136957,96,-95,1,-40.33333333,3.33E-07,9.25E-07,6.00E-06,6.93E-06,6.47E-06,4.28E-05,0.000125,-0.000123698,1.30E-06,-5.25E-05
20,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,180,0,trial1,0,0.002446615,8.30E-07,0.000339167,-4.51E-07,0.007523531,-1.13E-14,4.84E-10,-6.21E-06,0.022395622,-0.007131852,0.8690537,2.3304708,197664.44,0.001054528,63.257706,3.271602804,0.001963303,0.005909754,0.012503218,0.018412972,0.015774822,38.98895855,96,-96,0,-47.83333333,7.22E-07,2.18E-06,4.59E-06,6.77E-06,5.82E-06,5.08E-05,0.000125,-0.000125,0,-6.23E-05
21,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,180,0,trial2,0,0.002538817,1.01E-06,0.00039741,-4.47E-07,0.007442504,-1.15E-14,4.92E-10,-6.28E-06,0.022450718,0.27021807,0.8815438,2.3216035,179543.28,0.000952259,61.662323,2.743034964,0.001613046,0.00382216,0.013285495,0.017107655,0.015571236,32.70278615,95,-95,0,-39.83333333,6.00E-07,1.43E-06,4.88E-06,6.31E-06,5.75E-06,4.26E-05,0.000123698,-0.000123698,0,-5.19E-05
22,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,180,0,trial3,0,0.002473763,2.23E-06,0.000903237,-4.54E-07,0.00759253,-1.12E-14,4.80E-10,-6.16E-06,0.022329035,0.48982862,0.93304074,2.1599824,166510.81,0.001121204,67.225006,3.513018351,0.00158892,0.00364976,0.014548955,0.018198715,0.01687455,22.74801579,49,-49,0,-32.16666667,5.86E-07,1.34E-06,5.36E-06,6.70E-06,6.22E-06,2.96E-05,6.38E-05,-6.38E-05,0,-4.19E-05
23,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,180,0,trial4,0,0.003120107,2.56E-06,0.000819431,-5.05E-07,0.008452606,-1.26E-14,5.41E-10,-6.92E-06,0.02499932,0.071861684,0.81411386,2.7384036,215175.67,0.00120979,73.34027,3.136474176,0.0020118,0.005910804,0.014015058,0.019925862,0.017453397,32.74650109,95,-95,0,-40,7.18E-07,2.10E-06,5.21E-06,7.32E-06,6.43E-06,4.26E-05,0.000123698,-0.000123698,0,-5.21E-05
24,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,1,180,0,trial5,0,0.002398456,1.24E-06,0.000517016,-4.47E-07,0.007463264,-1.12E-14,4.82E-10,-6.17E-06,0.022228047,0.22595689,0.75356984,2.0415761,172397.28,0.001049242,62.61563,2.660823031,0.001212779,0.003337368,0.013279785,0.016617153,0.015393755,32.74650109,95,-95,0,-40,4.54E-07,1.23E-06,4.90E-06,6.13E-06,5.68E-06,4.26E-05,0.000123698,-0.000123698,0,-5.21E-05
25,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,0,1,trial1,0,0.004239122,3.68E-05,0.008669431,-6.84E-07,0.011906811,-1.14E-14,5.03E-10,-6.84E-06,0.028309887,0.074001975,0.70065373,3.049732,220827.86,0.003696619,165.74358,3.802155632,0.002179164,0.005264661,0.040786489,0.04605115,0.04283916,45.37498087,97,-96,1,-63.66666667,7.98E-07,1.97E-06,1.47E-05,1.67E-05,1.55E-05,5.91E-05,0.000126302,-0.000125,1.30E-06,-8.29E-05
26,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,0,1,trial2,0,0.003750639,7.97E-05,0.021254485,-6.44E-07,0.011392032,-1.05E-14,4.61E-10,-6.24E-06,0.026188204,0.2382873,0.9097022,2.6221838,186481.81,0.004274099,181.98613,4.901720209,0.001912465,0.005035574,0.040267324,0.045302899,0.042728028,45.37498087,97,-96,1,-63.66666667,7.05E-07,1.90E-06,1.45E-05,1.64E-05,1.55E-05,5.91E-05,0.000126302,-0.000125,1.30E-06,-8.29E-05
27,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,0,1,trial3,0,0.007344493,0.000132762,0.018076429,-9.15E-07,0.016225688,-1.23E-14,5.56E-10,-7.84E-06,0.034970347,0.2596776,0.88658196,6.213066,350867.44,0.006301391,241.14815,9.697616084,0.002127096,0.005252024,0.042986651,0.048238675,0.045187197,45.13836752,96,-96,0,-63.83333333,7.83E-07,1.91E-06,1.56E-05,1.75E-05,1.64E-05,5.88E-05,0.000125,-0.000125,0,-8.31E-05
28,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,0,1,trial4,0,0.00331054,0.000252417,0.076246508,-6.16E-07,0.011244445,-8.97E-15,3.91E-10,-5.33E-06,0.023611621,0.32442102,0.8631565,2.3888693,182572.53,0.005728029,220.18672,5.325972441,0.002029066,0.00533229,0.042296971,0.047629261,0.044388142,45.13836752,96,-96,0,-63.83333333,7.47E-07,1.98E-06,1.53E-05,1.73E-05,1.61E-05,5.88E-05,0.000125,-0.000125,0,-8.31E-05
29,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,0,1,trial5,0,0.004181868,0.000147422,0.035252782,-6.67E-07,0.011921107,-1.16E-14,5.03E-10,-6.69E-06,0.027623087,0.26874584,0.7834287,2.9828384,209301.56,0.00504616,196.08733,5.026101749,0.001922107,0.004567895,0.04044754,0.045015436,0.042347473,45.13836752,96,-96,0,-63.83333333,7.05E-07,1.65E-06,1.47E-05,1.63E-05,1.53E-05,5.88E-05,0.000125,-0.000125,0,-8.31E-05
30,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,45,0,trial1,0,0.00269092,4.99E-05,0.01855865,-5.29E-07,0.009305114,-9.83E-15,4.26E-10,-5.64E-06,0.022625528,0.19189426,0.7341071,2.2277682,192981.97,0.003121072,137.22903,3.966485943,0.001626911,0.003928492,0.042488243,0.046416735,0.044057373,45.254834,96,-96,0,-64,5.98E-07,1.44E-06,1.54E-05,1.68E-05,1.60E-05,5.89E-05,0.000125,-0.000125,0,-8.33E-05
31,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,45,0,trial2,0,0.003357271,0.000133572,0.039785819,-6.22E-07,0.011108827,-9.68E-15,4.25E-10,-5.78E-06,0.024722882,0.30609098,0.8457741,2.6186373,215165.16,0.004631143,179.1,6.702895682,0.001823204,0.004315652,0.041147954,0.045463606,0.04286594,45.254834,96,-96,0,-64,6.68E-07,1.57E-06,1.49E-05,1.65E-05,1.56E-05,5.89E-05,0.000125,-0.000125,0,-8.33E-05
32,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,45,0,trial3,0,0.004749955,9.36E-05,0.019703188,-7.25E-07,0.012802912,-1.20E-14,5.28E-10,-7.14E-06,0.029728763,0.27033982,0.8659709,3.38641,281040.38,0.004655358,188.19499,5.42327117,0.00191803,0.005063738,0.042417089,0.047480827,0.044319144,45.254834,96,-96,0,-64,7.02E-07,1.85E-06,1.54E-05,1.72E-05,1.61E-05,5.89E-05,0.000125,-0.000125,0,-8.33E-05
33,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,45,0,trial4,0,0.004226307,9.63E-05,0.022792687,-6.67E-07,0.011818543,-1.18E-14,5.15E-10,-6.86E-06,0.028016701,0.19186753,0.8772266,3.811537,363999.16,0.00427654,195.4938,5.062567063,0.002201579,0.005666498,0.041603045,0.047269543,0.043876439,45.254834,96,-96,0,-64,8.02E-07,2.06E-06,1.51E-05,1.71E-05,1.59E-05,5.89E-05,0.000125,-0.000125,0,-8.33E-05
34,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,45,0,trial5,0,0.003214483,8.88E-05,0.027637133,-5.93E-07,0.010560219,-9.69E-15,4.24E-10,-5.72E-06,0.024044369,0.07613613,0.8785729,2.2292018,170507.52,0.004161633,157.88597,5.76579224,0.001930011,0.004846908,0.04064948,0.045496388,0.042538846,45.13836752,96,-96,0,-63.83333333,7.09E-07,1.77E-06,1.48E-05,1.65E-05,1.54E-05,5.88E-05,0.000125,-0.000125,0,-8.31E-05
35,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,90,0,trial1,0,0.002123503,2.69E-05,0.012645518,-4.58E-07,0.007959092,-8.89E-15,3.87E-10,-5.10E-06,0.020097294,0.22802517,0.8433278,1.559901,134097.38,0.002247286,112.2876,3.628051869,0.001422082,0.004045538,0.032391812,0.03643735,0.033814198,45.254834,96,-96,0,-64,5.22E-07,1.49E-06,1.18E-05,1.32E-05,1.23E-05,5.89E-05,0.000125,-0.000125,0,-8.33E-05
36,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,90,0,trial2,0,0.003681487,4.50E-05,0.012221485,-6.04E-07,0.010492561,-1.10E-14,4.83E-10,-6.44E-06,0.025833836,0.23167156,0.8793644,3.4932337,245845.23,0.003198582,135.78946,5.978918423,0.001394267,0.003660968,0.034183892,0.037844861,0.035388252,45.254834,96,-96,0,-64,5.12E-07,1.35E-06,1.24E-05,1.38E-05,1.29E-05,5.89E-05,0.000125,-0.000125,0,-8.33E-05
37,rec_0.wav,raspi-ubuntu-1,2021/12/27,standup,AGC,3,90,0,trial3,0,0.002650531,3.18E-05,0.012007066,-5.21E-07,0.009081267,-9.64E-15,4.20E-10,-5.58E-06,0.022355115,0.201011,0.91137564,2.05993,167890.17,0.00278415,130.11559,3.275251084,0.001347993,0.003649965,0.033629108,0.037279073,0.035473036,45.254834,96,-96,0,-64,4.97E-07,1.35E-06,1.22E-05,1.35E-05,1.29E-05,5.89E-05,0.000125,-0.000125,0,-8.33E-05
