id,filename,participant_id,date,status,agc_status,distance,angle,session_id,mic_channel,facing,facing2,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
0,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial1,0,1,1,9.600781974790705e-05,1.7787066391372998e-05,0.18526685053444047,-1.1244769354791478e-07,0.0021340713765495693,-1.3354119019965724e-15,5.771376117066196e-11,-8.016375748366781e-07,0.003924190583284499,0.42526963,0.88692003,0.07661705,5358.1343,0.0014308622,45.072495,6.601069471906469,0.0032668821728554383,0.010213803511933392,0.045359902482205616,0.05557370599413901,0.05065261932679956,23.11324776447962,51.0,-50.0,1.0,-32.666666666666664,1.2419480782564916e-06,3.915759524727565e-06,1.61982405324606e-05,2.0114000057188166e-05,1.8283516453445755e-05,3.0095374693332838e-05,6.640625e-05,-6.510416666666667e-05,1.3020833333333333e-06,-4.253472222222223e-05
1,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial2,0,1,1,0.00013420145085574946,1.1628080103641766e-05,0.08664645597714561,-1.2504685112881067e-07,0.002299628699006601,-1.8601550785833264e-15,8.043501297813484e-11,-1.0860887250210904e-06,0.004797286873862842,0.0882464,0.72397304,0.11629576,8663.532,0.0011819527,40.164154,6.170558223366836,0.0032703434869598117,0.008481805827361091,0.04740975915076606,0.05589156497812715,0.05062900833646946,23.098821518760552,49.0,-49.0,0.0,-32.666666666666664,1.2258140587904185e-06,3.1917350735640637e-06,1.70790337997408e-05,2.0270768873304865e-05,1.8308876958039344e-05,3.0076590519219466e-05,6.380208333333333e-05,-6.380208333333333e-05,0.0,-4.2534722222222216e-05
2,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial3,0,1,1,0.00017145848583436865,1.66033772664955e-05,0.09683613608097881,-1.4612897763932273e-07,0.0026857616259369104,-2.002454422050271e-15,8.742837291834783e-11,-1.2010125990556754e-06,0.005455140546647795,0.06441048,0.7542455,0.1354738,9496.164,0.0014073636,46.9395,6.706762005833228,0.003069959917309996,0.008521382182509779,0.046539123275686475,0.055060505458196254,0.04984211138827387,23.098821518760552,49.0,-49.0,0.0,-32.666666666666664,1.149764058453506e-06,3.2021763985403746e-06,1.6766529299095078e-05,1.9968705697635452e-05,1.8027898608220643e-05,3.0076590519219466e-05,6.380208333333333e-05,-6.380208333333333e-05,0.0,-4.2534722222222216e-05
3,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial4,0,1,1,0.0002776568940404442,6.223527015164524e-05,0.22414451608242758,-1.97522547351262e-07,0.003783504576101972,-2.061381479077173e-15,8.9507330016222e-11,-1.2715033301153348e-06,0.0065869740438487985,0.35724458,0.8031704,0.23708001,18963.86,0.0027101194,85.397064,8.049475537851828,0.0032838039129842013,0.009267425242126683,0.04685775151207914,0.05612517675420582,0.05084335261977394,23.456816114345575,51.0,-50.0,1.0,-32.666666666666664,1.2451177898437515e-06,3.5813978170401995e-06,1.6769675456253834e-05,2.0351073273294034e-05,1.835746729365584e-05,3.054272931555413e-05,6.640625e-05,-6.510416666666667e-05,1.3020833333333333e-06,-4.2534722222222216e-05
4,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial5,0,1,1,0.0005464797531898587,8.90121177902224e-05,0.16288273677231313,-2.738034429629574e-07,0.005193720088891835,-3.0736544778703325e-15,1.337969007635062e-10,-1.8832973470473058e-06,0.009406094077862874,0.32184005,0.8146021,0.46408895,33986.156,0.0033671197,110.211,7.011320688032339,0.0030268547599688654,0.008324199495715008,0.04839993703820604,0.05672413653392105,0.051893763233331634,22.983689869122408,49.0,-49.0,0.0,-32.5,1.1282409837706631e-06,3.1236707037964638e-06,1.7448434170413946e-05,2.057210487421041e-05,1.8779026204363882e-05,2.9926679517086467e-05,6.380208333333333e-05,-6.380208333333333e-05,0.0,-4.2317708333333335e-05
5,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial6,0,1,1,0.0008520140077588571,0.00010287853152914322,0.12074746493869924,-3.3002258984068974e-07,0.006209011054874601,-4.015695672709953e-15,1.746786533824286e-10,-2.429772381844832e-06,0.011700381874914439,0.20146118,0.9514604,0.66685367,50218.117,0.0038296098,127.15344,7.682729552107019,0.00301706289925538,0.008873363622553164,0.04627648406266293,0.055149847685216094,0.05068515050267766,22.990940244655793,50.0,-49.0,1.0,-32.5,1.1031944134403248e-06,3.284391124776431e-06,1.668250190674761e-05,1.996689303152404e-05,1.8338854895453717e-05,2.9936120110228894e-05,6.510416666666667e-05,-6.380208333333333e-05,1.3020833333333333e-06,-4.2317708333333335e-05
6,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial7,0,1,1,0.0014433189823070819,0.000157425803980656,0.10907208033044627,-4.330993942975792e-07,0.008031686394157755,-5.263410226852442e-15,2.3149889869297795e-10,-3.246844920066258e-06,0.015473672930624347,0.18412432,0.87285966,1.1836762,88091.66,0.0045065484,153.5577,6.4483985499062,0.002947121617844611,0.008218524327108533,0.047276986688506634,0.055495511015615166,0.050785685100832235,23.221158933658376,50.0,-49.0,1.0,-32.333333333333336,1.0911145113653325e-06,3.0897709036264915e-06,1.704566213111114e-05,2.013543303473763e-05,1.8379916725745914e-05,3.023588402820101e-05,6.510416666666667e-05,-6.380208333333333e-05,1.3020833333333333e-06,-4.210069444444444e-05
7,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial8,0,1,1,0.0014451952660076031,0.00013944134978290291,0.09648616561560845,-4.2709491203456326e-07,0.00794713570535619,-5.829138477764538e-15,2.5258695247105496e-10,-3.451493230611978e-06,0.015824791026067174,0.2212456,0.8806362,1.1105022,77142.234,0.004442567,154.81519,8.019661857049751,0.003054875046941528,0.008043590353431988,0.047109569660316944,0.05515316001374893,0.05018428752095788,22.983689869122408,49.0,-49.0,0.0,-32.5,1.1338828557496286e-06,3.015082736350405e-06,1.699293264558028e-05,2.0008015381930686e-05,1.8170569360260904e-05,2.9926679517086467e-05,6.380208333333333e-05,-6.380208333333333e-05,0.0,-4.2317708333333335e-05
8,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial9,0,1,1,0.0019327596881277816,0.00019301923718901358,0.09986716836793441,-4.857881632366984e-07,0.009023015861152117,-7.064599658198405e-15,3.0405117964627036e-10,-4.101111453124308e-06,0.018371550544306024,0.30295706,0.90165234,1.7328264,123968.52,0.0050930968,179.36522,7.728849884419512,0.0032408089813747757,0.008969635875397008,0.0459206730597658,0.05489030893516281,0.04957404881799571,22.983689869122408,49.0,-49.0,0.0,-32.5,1.2069341203728107e-06,3.3395091259744724e-06,1.6570715407937022e-05,1.9910224533911494e-05,1.794839941896116e-05,2.9926679517086467e-05,6.380208333333333e-05,-6.380208333333333e-05,0.0,-4.2317708333333335e-05
9,rec_0.wav,raspi-ubuntu-1,2022-01-13,standup,AGC,1,0,trial10,0,1,1,0.0025455126948961534,0.0003217221224225826,0.12638794654909688,-5.614118372730298e-07,0.010613246083542525,-7.675043497674445e-15,3.2838714191752503e-10,-4.442283091914668e-06,0.02058366063743006,0.36673,0.883848,2.523627,199675.5,0.0069336197,222.77617,8.614808798892312,0.003294221791707547,0.009139455478270435,0.045852036031981645,0.05499149151025208,0.049863465325261376,23.221158933658376,50.0,-49.0,1.0,-32.333333333333336,1.2187134588616178e-06,3.4242850777314946e-06,1.6520495176262676e-05,1.994478025399417e-05,1.803986818140465e-05,3.023588402820101e-05,6.510416666666667e-05,-6.380208333333333e-05,1.3020833333333333e-06,-4.210069444444444e-05
