id,filename,participant_id,date,status,agc_status,distance,angle,session_id,mic_channel,facing,facing2,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
0,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial1,0,0,2,0.00929994668200562,0.0010216517439259525,0.10985565604400042,-1.071269767423986e-06,0.019867674467200697,-1.3968358920875487e-14,6.087136486825967e-10,-8.401837247651752e-06,0.03907509051312214,0.16853929,0.80323625,6.4658723,432627.7,0.0116091175,365.89883,7.239809467970893,0.006014009821361094,0.017169645513545204,0.03431804874818442,0.051487694261729625,0.0448972859508198,32.33891704364194,94.0,-93.0,1.0,-40.166666666666664,2.3193739779398844e-06,6.624555457534641e-06,1.197112375078955e-05,1.859567920832419e-05,1.6126977162581012e-05,4.210796490057545e-05,0.00012239583333333332,-0.00012109375,1.3020833333333333e-06,-5.2300347222222224e-05
1,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial2,0,0,2,0.01162553082105876,0.0006927092258976979,0.059585169620204194,-1.170806934920427e-06,0.021369618282283735,-1.722501481073965e-14,7.503009700589761e-10,-1.0202446135108062e-05,0.045023343976894926,0.2032968,0.87742174,8.904567,562831.0,0.010473353,355.40497,7.481631495057011,0.00602889283827631,0.017053999847537055,0.0340272806262614,0.05108128047379845,0.04618287876378718,32.33891704364194,94.0,-93.0,1.0,-40.166666666666664,2.3502003800338988e-06,6.70116949273557e-06,1.181812301959104e-05,1.851929251232661e-05,1.656588608010656e-05,4.210796490057545e-05,0.00012239583333333332,-0.00012109375,1.3020833333333333e-06,-5.2300347222222224e-05
2,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial3,0,0,2,0.0072319824337655145,0.00044716867147445954,0.06183210144242979,-9.321532787168622e-07,0.017058409108235043,-1.3924097782016464e-14,6.053911355894631e-10,-8.205780433302803e-06,0.03607117629989062,0.18081188,0.8813062,5.0085173,426690.44,0.0084341895,312.0203,6.067713264176098,0.004940075930817224,0.014020943232501935,0.035776773426235024,0.04979771665873696,0.04510918531406985,32.33891704364194,94.0,-93.0,1.0,-40.166666666666664,1.9418062278341564e-06,5.5639488043831806e-06,1.2481330634213807e-05,1.8045279438596988e-05,1.6167565236043998e-05,4.210796490057545e-05,0.00012239583333333332,-0.00012109375,1.3020833333333333e-06,-5.2300347222222224e-05
3,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial4,0,0,2,0.024030969572400137,0.00010390859701691482,0.004323945261711584,-1.4134992724319584e-06,0.024053631675488896,-3.3063392798991206e-14,1.4203321434412966e-09,-1.826909424608642e-05,0.06754956678532104,0.47359255,0.9254064,138.72652,16038404.0,0.0039998447,357.12494,1.6247491668159335,0.0044766294531692445,0.011640898336843841,0.03446837239913965,0.04610927073598349,0.04154972495470733,32.61219948969335,95.0,-94.0,1.0,-40.333333333333336,1.7044560883848705e-06,4.396836618777309e-06,1.2242745499152811e-05,1.663958211793012e-05,1.4943471938075585e-05,4.246380141887155e-05,0.00012369791666666665,-0.00012239583333333332,1.3020833333333333e-06,-5.251736111111112e-05
4,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial5,0,0,2,0.0025689094294436034,0.00022111866655682633,0.086074917247946,-5.427935584164667e-07,0.010032305871185136,-8.178426744285721e-15,3.52060781478742e-10,-4.7298601158827494e-06,0.020861665178905014,0.1445409,0.9059544,2.031613,152978.4,0.0055797156,180.799,6.686309373896829,0.005013821698072265,0.0151241651305681,0.034845585399488205,0.049969750530056305,0.04493393450086838,32.29034943549956,94.0,-93.0,1.0,-40.0,1.968933587695353e-06,5.974869904207832e-06,1.2143017542720622e-05,1.8117887446928453e-05,1.6127578823677797e-05,4.204472582747338e-05,0.00012239583333333332,-0.00012109375,1.3020833333333333e-06,-5.208333333333334e-05
5,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial6,0,0,2,0.0014961476691456447,0.00011717797870139147,0.07831979497605634,-4.0379093353111124e-07,0.007460625638235872,-7.041701405805818e-15,2.990635033164033e-10,-3.9105877133346255e-06,0.016394675175176607,0.08814121,0.89064956,1.1927915,106591.625,0.004195783,132.44812,4.6397651829437825,0.005693257691703174,0.016425858951124153,0.03192743920732717,0.048353298158451324,0.04267947144580988,32.33891704364194,94.0,-93.0,1.0,-40.166666666666664,2.2088372260585898e-06,6.346379323229114e-06,1.109471700617816e-05,1.7441096329407275e-05,1.5294310040262486e-05,4.210796490057545e-05,0.00012239583333333332,-0.00012109375,1.3020833333333333e-06,-5.2300347222222224e-05
6,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial7,0,0,2,0.00324270611055674,9.772723605960706e-05,0.03013755571047673,-5.879281986153546e-07,0.010514110852729242,-1.0938146193699459e-14,4.71010806686892e-10,-6.191526899856477e-06,0.02501221415057754,0.04788113,0.72618425,2.8213606,227001.75,0.004243788,175.24626,3.5679110209783733,0.00478544832162655,0.01374029873298617,0.02985452732241916,0.04359482605540533,0.04046457724073745,32.21628297753931,95.0,-93.0,2.0,-39.666666666666664,1.870985855360972e-06,5.412980455230188e-06,1.0337811840760732e-05,1.575079229599092e-05,1.4478414060478085e-05,4.194828512700431e-05,0.00012369791666666668,-0.00012109375,2.6041666666666666e-06,-5.164930555555555e-05
7,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial8,0,0,2,0.0029189628895237973,0.0001839413501490461,0.0630159947593765,-5.693521217203405e-07,0.0104853424424491,-9.479375758981563e-15,4.059421536743605e-10,-5.371148546267468e-06,0.02283371193548423,0.20064047,0.89909846,2.2117202,180228.66,0.005551639,211.55086,5.368480994875958,0.005773657825358896,0.017218985523585542,0.031067765185923885,0.04828675070950943,0.04368490286538812,23.240888298188796,52.0,-51.0,1.0,-32.833333333333336,2.2377393961563665e-06,6.696058403174246e-06,1.0805593716630536e-05,1.750165211980478e-05,1.5698852498216887e-05,3.0261573304933326e-05,6.770833333333334e-05,-6.640625e-05,1.3020833333333333e-06,-4.275173611111111e-05
8,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial9,0,0,2,0.003190873655800467,0.00037714472848580455,0.1181948172094559,-5.872776898556937e-07,0.01114553882570199,-1.0212112556825868e-14,4.2750781305387216e-10,-5.522880397529676e-06,0.02350643666811317,0.16486366,0.91812533,2.565092,203610.39,0.0077505102,243.10414,6.169215023838633,0.005659703170321138,0.01685430105343442,0.031557384653673214,0.04841168570710763,0.043982064597672656,32.256351657033726,95.0,-93.0,2.0,-39.833333333333336,2.2029890400264456e-06,6.618360482902192e-06,1.0917800174111948e-05,1.753616065701414e-05,1.5751514334691467e-05,4.2000457886762656e-05,0.00012369791666666668,-0.00012109375,2.6041666666666666e-06,-5.1866319444444436e-05
9,rec_0.wav,raspi-ubuntu-2,2022-03-23,standup,AGC-30deg,1,30,trial10,0,0,2,0.002999450749370681,0.00017086387616321245,0.05696505475179469,-5.603158278132966e-07,0.010250926957654711,-1.0524138348777457e-14,4.4723513185861245e-10,-5.807943800316747e-06,0.023629309755508858,0.056859005,0.8590525,2.521131,226755.9,0.005339531,202.74811,3.943104152379714,0.0056346614112418114,0.01649553729568877,0.02993168926497322,0.04642722656066199,0.042351374928452555,32.21628297753931,95.0,-93.0,2.0,-39.666666666666664,2.183127359642006e-06,6.41603901184852e-06,1.035318539904482e-05,1.676922441089334e-05,1.5155783226628087e-05,4.194828512700431e-05,0.00012369791666666668,-0.00012109375,2.6041666666666666e-06,-5.164930555555555e-05
