id,filename,participant_id,date,status,agc_status,distance,angle,session_id,mic_channel,facing,facing2,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
10,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial11,0,1,1,0.006627549,0.000294626,0.044454719,-8.59E-07,0.015577219,-1.49E-14,6.41E-10,-8.49E-06,0.03532483,0.15425028,0.8761116,4.92135,325479.88,0.00718688,266.50665,5.5130358,0.002974363,0.008710651,0.044759018,0.053469669,0.049517936,22.98368987,49,-49,0,-32.5,1.11E-06,3.26E-06,1.61E-05,1.94E-05,1.79E-05,2.99E-05,6.38E-05,-6.38E-05,0,-4.23E-05
11,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial12,0,1,1,0.004370156,0.000162905,0.037276713,-7.04E-07,0.012658071,-1.23E-14,5.33E-10,-7.06E-06,0.029164179,0.1748586,0.87765634,3.1052158,235578.19,0.005469604,209.52954,4.094418362,0.003260423,0.00905366,0.041405193,0.050458853,0.045864703,23.09882152,49,-49,0,-32.66666667,1.21E-06,3.37E-06,1.49E-05,1.83E-05,1.66E-05,3.01E-05,6.38E-05,-6.38E-05,0,-4.25E-05
12,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial13,0,1,1,0.008678178,0.000322991,0.037218745,-9.70E-07,0.017477114,-1.67E-14,7.23E-10,-9.61E-06,0.039931704,0.12690808,0.88508785,6.176353,385249.25,0.007619749,285.84387,6.682217398,0.003045004,0.0090383,0.043702102,0.052740402,0.048883472,22.98368987,49,-49,0,-32.5,1.14E-06,3.38E-06,1.58E-05,1.91E-05,1.77E-05,2.99E-05,6.38E-05,-6.38E-05,0,-4.23E-05
13,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial14,0,1,1,0.005038667,0.000142036,0.028189169,-7.16E-07,0.012795722,-1.38E-14,5.94E-10,-7.75E-06,0.030911946,0.01267079,0.8737914,3.9524014,272228.3,0.005109406,207.47052,3.857142378,0.003083251,0.008962701,0.041547473,0.050510175,0.046554578,22.98368987,49,-49,0,-32.5,1.15E-06,3.34E-06,1.50E-05,1.83E-05,1.68E-05,2.99E-05,6.38E-05,-6.38E-05,0,-4.23E-05
14,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial15,0,1,1,0.005071269,0.000254417,0.0501683,-7.39E-07,0.013492702,-1.35E-14,5.75E-10,-7.52E-06,0.030885948,0.1344676,0.89597934,4.025497,291514.4,0.006867243,263.3694,4.100257474,0.003160576,0.008831906,0.043245327,0.052077233,0.047886029,22.98368987,49,-49,0,-32.5,1.18E-06,3.29E-06,1.56E-05,1.89E-05,1.73E-05,2.99E-05,6.38E-05,-6.38E-05,0,-4.23E-05
15,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial16,0,1,1,0.003473377,0.000208773,0.06010673,-5.97E-07,0.010938977,-1.17E-14,4.94E-10,-6.37E-06,0.025567733,0.07664108,0.93092257,2.7428386,210481.55,0.005901074,204.34193,4.410519352,0.003456193,0.009813084,0.041381842,0.051194926,0.046229252,23.09882152,49,-49,0,-32.66666667,1.29E-06,3.65E-06,1.49E-05,1.86E-05,1.67E-05,3.01E-05,6.38E-05,-6.38E-05,0,-4.25E-05
16,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial17,0,1,1,0.006559806,0.000339401,0.05173955,-8.33E-07,0.015220372,-1.48E-14,6.32E-10,-8.30E-06,0.034402169,0.20304355,0.89650893,5.42459,369252.66,0.007791093,277.22498,4.959909782,0.003016495,0.00809524,0.045446051,0.053541291,0.049292556,23.09882152,49,-49,0,-32.66666667,1.13E-06,3.03E-06,1.64E-05,1.94E-05,1.78E-05,3.01E-05,6.38E-05,-6.38E-05,0,-4.25E-05
17,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial18,0,1,1,0.004210086,0.000231848,0.055069678,-6.71E-07,0.012263958,-1.22E-14,5.22E-10,-6.82E-06,0.027991609,0.08122017,0.901725,3.2753816,249024.97,0.006225908,245.44102,4.351424939,0.00313801,0.0084336,0.042953737,0.051387336,0.047172642,23.09882152,49,-49,0,-32.66666667,1.17E-06,3.12E-06,1.55E-05,1.86E-05,1.71E-05,3.01E-05,6.38E-05,-6.38E-05,0,-4.25E-05
18,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial19,0,1,1,0.010469538,0.000216196,0.020650014,-1.07E-06,0.019052182,-1.69E-14,7.41E-10,-1.01E-05,0.042789612,0.13994862,0.9416967,7.5708604,447306.94,0.007495442,307.34332,5.523150366,0.002692383,0.007439322,0.047329336,0.054768658,0.050990416,22.98368987,49,-49,0,-32.5,1.00E-06,2.77E-06,1.71E-05,1.99E-05,1.85E-05,2.99E-05,6.38E-05,-6.38E-05,0,-4.23E-05
19,rec_0.wav,raspi-ubuntu-1,2022/3/23,standup,AGC-30deg,1,30,trial20,0,1,1,0.007696591,0.000366626,0.047634801,-1.01E-06,0.018252016,-1.18E-14,5.35E-10,-7.70E-06,0.036440038,0.27057546,0.7732486,4.957845,331334.6,0.008378643,308.5891,4.097834661,0.003147281,0.008671264,0.045859782,0.054531047,0.050198156,23.09882152,49,-49,0,-32.66666667,1.18E-06,3.22E-06,1.66E-05,1.98E-05,1.82E-05,3.01E-05,6.38E-05,-6.38E-05,0,-4.25E-05
