id,filename,participant_id,date,status,agc_status,distance,angle,session_id,mic_channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
215,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,135,trial1,0,0.004779084362432738,9.988831817882894e-05,0.020901141432871032,-6.930694294777556e-07,0.012137976685409856,-1.2443401190765894e-14,5.436536021022672e-10,-7.257076413623753e-06,0.029382350007985152,0.10541991,0.87628114,4.036745,355490.25,0.003893362,189.76352,3.57604749364842,0.002656611738886266,0.008470040505668422,0.02772966492657651,0.03619970543224493,0.03133954688652196,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,9.726190576325344e-07,3.0702210753440065e-06,1.0086997464596566e-05,1.3157218539940572e-05,1.1379904759325273e-05,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
216,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,135,trial2,0,0.006988737884180335,8.916910397186523e-05,0.012758970997282338,-8.181037644266404e-07,0.014150878582831537,-1.4759993854350326e-14,6.48711011612124e-10,-8.697146195159872e-06,0.03497476106891205,0.19790256,0.82999486,6.6530952,491668.94,0.0040899967,200.73491,5.083766323945551,0.002619975062322039,0.007925519264669077,0.0290640894498619,0.036989608714530976,0.032040570641679,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,9.611241868829343e-07,2.8737762057630974e-06,1.0574949389817424e-05,1.3448725595580521e-05,1.1643069487980069e-05,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
217,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,135,trial3,0,0.004861575543627754,8.466798686906697e-05,0.01741575053380471,-7.080562600555663e-07,0.012283979198858763,-1.2222759813667549e-14,5.392226525184374e-10,-7.281670805042997e-06,0.02972260535664679,0.19337563,0.797265,3.7379155,284763.38,0.0037985058,176.25679,4.274077815380951,0.0023863848190896096,0.0075414344414741,0.02605587232456099,0.03359730676603509,0.029204870354636075,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,8.704798600125521e-07,2.7315749565562453e-06,9.505553363537377e-06,1.2237128320093622e-05,1.064106567078921e-05,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
218,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,135,trial4,0,0.005662583366594267,0.00011666926791994322,0.02060354088704806,-7.553548596730162e-07,0.013203457292041022,-1.430374885499635e-14,6.21754673386667e-10,-8.223846119697848e-06,0.03272090346604868,0.12312084,0.9080392,3.97508,331843.72,0.004107946,209.55794,4.3465989894365125,0.0024431699757664245,0.007629030267972535,0.030215713068950226,0.03784474333692276,0.03302695915999939,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,8.948589504441841e-07,2.7640723775343257e-06,1.0980224407051094e-05,1.374429678458542e-05,1.1988070805860572e-05,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
219,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,135,trial5,0,0.006389297748295782,7.013049457884907e-05,0.010976244548558563,-7.855890925554537e-07,0.013588719631402818,-1.5267026927395735e-14,6.651916299637479e-10,-8.794903116220485e-06,0.03457081032949823,0.17195715,0.78154045,4.671216,378827.25,0.0036046668,192.64546,3.7514348702549305,0.00278696493210035,0.008860366192420761,0.027990525109309626,0.03685089130173039,0.03171233955942723,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,1.0193426187486091e-06,3.210058804690978e-06,1.0176129521790478e-05,1.3386188326481456e-05,1.15137778518159e-05,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
220,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,180,trial1,0,0.0038582995826220786,3.5027986067119784e-05,0.009078607121356544,-6.154193942438942e-07,0.010536132378605538,-1.2138661741056373e-14,5.303218513144043e-10,-7.018246623156535e-06,0.02735649595002084,0.15516615,0.85142285,3.5496256,370857.78,0.0024540971,139.98991,2.295738134821209,0.002066638686247494,0.006558730722158273,0.01915909866789449,0.025717829390052762,0.021787032763192087,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,7.551413141863285e-07,2.3747158263590318e-06,7.01285333069129e-06,9.387569157050322e-06,7.956003304081509e-06,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
221,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,180,trial2,0,0.003236420990565761,1.707995131595744e-05,0.005277419521670968,-5.55147744589404e-07,0.009462976522684565,-1.1647492744846069e-14,5.062445919368223e-10,-6.6355513951319995e-06,0.025351350597065916,0.09726601,0.84310347,3.0965016,323026.75,0.002000538,120.68721,1.9787414248822597,0.0020488054147520017,0.006631635524733618,0.01562613097225177,0.02225776649698539,0.018424308173961318,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,7.503683764977875e-07,2.416499605163001e-06,5.723066738198131e-06,8.139566343361132e-06,6.738120201712392e-06,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
222,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,180,trial3,0,0.003765146299376877,2.391652332963597e-05,0.0063520834060535976,-6.113387693471016e-07,0.010422582102773489,-1.1970259377335557e-14,5.246083058811911e-10,-6.965098244251439e-06,0.027167381118554424,0.059713356,0.8252294,3.346932,303506.47,0.0023827704,137.60083,2.41191036825687,0.0018253085799240791,0.005590211126167324,0.017373526187136987,0.02296373731330431,0.019745105352375215,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,6.690217262389042e-07,2.0352088011050266e-06,6.381767397781384e-06,8.416976198886411e-06,7.236429199257582e-06,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
223,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,180,trial4,0,0.003975648236285134,1.7476772793064926e-05,0.004395955515771514,-6.116271043188666e-07,0.010401106875900136,-1.3295267276829433e-14,5.762309709547178e-10,-7.51274602386071e-06,0.028380532293876087,0.32848424,0.74702877,3.5673928,338878.7,0.0020565826,135.37325,2.1245710340534827,0.0019397320302062277,0.005605859533888077,0.013716174254264406,0.019322033788152483,0.01664002386387794,45.254833995939045,96.0,-96.0,0.0,-64.0,7.139218320681788e-07,2.0573048744275275e-06,5.013878960246174e-06,7.071183834673702e-06,6.096566502407504e-06,5.892556509887896e-05,0.000125,-0.000125,0.0,-8.333333333333333e-05
224,rec_0.wav,raspi-ubuntu-3,2021-12-27,standup,AGC,5,180,trial5,0,0.002208429753531201,2.4083768653424753e-05,0.010905381352934437,-4.745414082026343e-07,0.008154623734637574,-9.587170545079297e-15,4.1698355294510356e-10,-5.486361116583117e-06,0.021260196181510895,0.07269311,0.8088473,1.7270064,171068.08,0.0019131323,114.88986,1.7532339849431213,0.0020027510704521776,0.0064899942495178185,0.018968141961602347,0.025458136211120166,0.021735468458782412,45.374062585970364,97.0,-97.0,0.0,-64.16666666666667,7.306567692699166e-07,2.3452432319966188e-06,6.946965063474776e-06,9.292208295471395e-06,7.940964272284616e-06,5.908081065881558e-05,0.00012630208333333333,-0.00012630208333333333,0.0,-8.355034722222222e-05
