id,filename,participant_id,date,status,agc_status,distance,angle,facing,facing2,session_id,mic_channel,low_power,high_power,hlbr,coe1[0],coe1[1],coe3[0],coe3[1],coe3[2],coe3[3],ratio_max_to_10ms_ave_peaks,ratio_max_to_9th_ave_peaks,ac_std,ac_auc,diff_std,diff_auc,srmr,gp_max_val_std,gp_max_val_range,gp_max_val_min,gp_max_val_max,gp_max_val_mean,gp_max_ix_std,gp_max_ix_range,gp_max_ix_min,gp_max_ix_max,gp_max_ix_mean,gp_auc_std,gp_auc_range,gp_auc_min,gp_auc_max,gp_auc_mean,tdoa_std,tdoa_range,tdoa_min,tdoa_max,tdoa_mean
0,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,0,1,1,trial1,0,4.23586563331872E-05,2.46910184868169E-06,0.058290372321069100,-7.20662946721563E-08,0.0013052937343054700,-9.5991902909835E-16,4.25479923052744E-11,-5.93163897877496E-07,0.0026940357307507300,0.21555416,0.8832106,0.037077375,2550.5627,0.0005949481,22.2594,5.663158104107280,0.004403415315731750,0.010880982220857000,0.04521690935793180,0.05609789157878880,0.04995873192873370,23.338094752285700,50.0,-50.0,0.0,-33.0,1.67131867954465E-06,4.14731044745836E-06,1.6189499701476E-05,2.03368101489344E-05,1.8013944538259E-05,3.03881442087054E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.296875E-05
1,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,0,1,1,trial2,0,4.5187340159373E-05,7.04155812966176E-06,0.15583033001780200,-7.75549987601206E-08,0.0014584631023007700,-8.50876917406997E-16,3.73787408852041E-11,-5.31330785737012E-07,0.002657196084851420,0.25316036,0.9030398,0.039286237,2813.1533,0.0009066392,34.528656,7.082755614548030,0.004543571818720380,0.011960762565770900,0.0430641505552869,0.055024913121057800,0.0489053062421422,23.219364523795400,50.0,-50.0,0.0,-32.833333333333300,1.70585972176949E-06,4.5241317051558E-06,1.54404499014699E-05,1.99645816066257E-05,1.7674043282172E-05,3.02335475570253E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.27517361111111E-05
2,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,0,1,1,trial3,0,8.65822947990274E-05,1.17629867275545E-05,0.13585903162833100,-1.04777918480578E-07,0.001958739477779270,-1.29377328779135E-15,5.6350021575691E-11,-7.83020071380651E-07,0.0037348759427568200,0.23760165,0.80377924,0.06454679,4567.0522,0.0011855037,38.41591,7.285660199391400,0.0047860525234852500,0.012217783724344400,0.043659019190063100,0.055876802914407400,0.04895253003219440,23.338094752285700,50.0,-50.0,0.0,-33.0,1.8081853066537E-06,4.63371949955426E-06,1.56213861140583E-05,2.02551056136126E-05,1.76525330887006E-05,3.03881442087054E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.296875E-05
3,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,0,1,1,trial4,0,8.56332244279746E-05,4.08867779419129E-05,0.47746395414904000,-1.11460428763673E-07,0.0022355252104508000,-9.73133820172299E-16,4.05797393064664E-11,-5.77953285111874E-07,0.0033982173065556500,0.37815616,0.8711072,0.070018455,4926.9546,0.0021726675,58.089478,10.42375495203300,0.004823446674162880,0.012444094607070200,0.04390267643927830,0.0563467710463485,0.049583962901575000,23.338094752285700,50.0,-50.0,0.0,-33.0,1.83395176259824E-06,4.74808611916628E-06,1.56651747831601E-05,2.04132609023263E-05,1.78526010237785E-05,3.03881442087054E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.296875E-05
4,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,0,1,1,trial5,0,0.00014698330110541500,7.32078971872767E-05,0.498069485694654,-1.4646736861859E-07,0.002919115024309490,-1.31312176400304E-15,5.4991747992954E-11,-7.81612931235668E-07,0.004510531575980580,0.28755057,0.72226924,0.13070717,9317.191,0.0028095613,69.978134,9.616916848693180,0.0038892129738171500,0.009690631032940070,0.046998335117196100,0.05668896615013620,0.050846939766766800,23.098821518760600,49.0,-49.0,0.0,-32.666666666666700,1.45022288760882E-06,3.61339765804502E-06,1.69333688573894E-05,2.05467665154344E-05,1.83738896884678E-05,3.00765905192195E-05,6.38020833333333E-05,-6.38020833333333E-05,0.0,-4.25347222222222E-05
5,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,45,0,2,trial1,0,0.00025053349733798000,3.8498619329064E-05,0.15366655452515300,-1.73820937107416E-07,0.0032249923490668300,-2.42963746621299E-15,1.04801760204248E-10,-1.42283673992557E-06,0.006462512125116560,0.32719773,0.7162188,0.20289133,14639.253,0.0020099748,63.68013,6.897709916934580,0.004588826107442640,0.01175981010752490,0.04058062888266230,0.0523404389901872,0.04602422623989950,23.21936452379540,50.0,-50.0,0.0,-32.833333333333300,1.72691007535639E-06,4.48760534711899E-06,1.45099146160393E-05,1.89975199631583E-05,1.66357924819384E-05,3.02335475570253E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.27517361111111E-05
6,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,45,0,2,trial2,0,0.0003729693369816750,6.61245880554824E-05,0.17729229054218800,-2.25437478527012E-07,0.004239996744696460,-2.60124807757581E-15,1.13555417849451E-10,-1.59536008015489E-06,0.00783590446187121,0.34955025,0.7866019,0.2794257,20092.912,0.0026978992,88.90579,7.398658509089480,0.0051291134571672900,0.014331495266784000,0.04057007046891770,0.05490156573570170,0.048207337565063800,23.57552874392330,51.0,-50.0,1.0,-32.833333333333300,1.94277786425038E-06,5.41061715817986E-06,1.44550424196742E-05,1.98656595778541E-05,1.73698101864751E-05,3.06973030519835E-05,6.640625E-05,-6.51041666666667E-05,1.30208333333333E-06,-4.27517361111111E-05
7,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,45,0,2,trial3,0,0.0005568223963144240,0.00011068687535689700,0.1987830879101260,-2.82057200347383E-07,0.00532888569175818,-2.97330291564129E-15,1.30724813198931E-10,-1.87035754009998E-06,0.009528161408748560,0.32484898,0.74744445,0.40661344,27903.375,0.003499939,116.86217,6.911029510044080,0.0050890336290158200,0.011984978586444500,0.042531799751908900,0.05451677833835340,0.04723973937813190,23.455039733261800,50.0,-50.0,0.0,-33.166666666666700,1.93935180317508E-06,4.61736227881559E-06,1.51634457994496E-05,1.97808080782652E-05,1.7011622713325E-05,3.05404163193513E-05,6.51041666666667E-05,-6.51041666666667E-05,0.0,-4.31857638888889E-05
8,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,45,0,2,trial4,0,0.0009269412164096160,0.00014262257863509600,0.1538636712989480,-3.44845835989228E-07,0.006488029428009060,-4.69289062499864E-15,2.01339937281315E-10,-2.73105870862194E-06,0.012637048946557700,0.3172152,0.7827621,0.7205186,51898.63,0.004141101,134.75633,6.649480747266280,0.004975301185183200,0.013615264428234800,0.040968910844973200,0.05458417527320800,0.047881734370558400,23.57552874392330,51.0,-50.0,1.0,-32.833333333333300,1.88685625717233E-06,5.20467205560067E-06,1.45976379169085E-05,1.98023099725092E-05,1.72537919946878E-05,3.06973030519835E-05,6.640625E-05,-6.51041666666667E-05,1.30208333333333E-06,-4.27517361111111E-05
9,rec_0.wav,raspi-ubuntu-1,2021-12-27,standup,AGC,1,45,0,2,trial5,0,0.0010400475497202300,0.00022111415800903800,0.21260004705411600,-3.65781517496747E-07,0.007026184297779160,-4.42003520699396E-15,1.88409341006608E-10,-2.58364161391119E-06,0.012700166855701100,0.4203744,0.8628866,0.8138104,56733.4,0.0052739633,162.18071,9.136478035687140,0.005262335754975090,0.015331304557088700,0.03936988656962710,0.05470119112671580,0.04816006570859040,23.345235059857500,51.0,-50.0,1.0,-33.0,1.99688840774569E-06,5.82846091915194E-06,1.39761884820306E-05,1.98046494011825E-05,1.73373976026183E-05,3.03974414841895E-05,6.640625E-05,-6.51041666666667E-05,1.30208333333333E-06,-4.296875E-05
